SaleID,SaleDate,ProductID,Quantity,UnitPrice
1,2025-06-24,20,4,249.99
2,2026-06-17,19,3,149.99
3,2026-06-02,18,5,14.99
4,2026-10-21,17,1,29.99
5,2026-07-18,16,3,18.99
6,2026-01-25,15,5,299.99
7,2025-05-25,14,1,199.99
8,2026-12-06,13,3,49.99
9,2026-02-14,12,2,24.99
10,2026-12-13,11,5,899.99
11,2025-12-12,20,4,249.99
12,2025-06-15,19,5,149.99
13,2025-02-05,18,3,14.99
14,2026-10-13,17,2,29.99
15,2025-12-16,16,4,18.99
16,2025-02-23,15,2,299.99
17,2025-03-03,14,4,199.99
18,2026-11-20,13,4,49.99
19,2025-04-21,12,2,24.99
20,2025-10-07,11,5,899.99
21,2026-10-24,20,1,249.99
22,2026-07-26,19,4,149.99
23,2026-06-08,18,4,14.99
24,2026-02-27,17,4,29.99
25,2026-01-25,16,4,18.99
26,2026-11-16,15,3,299.99
27,2025-01-05,14,2,199.99
28,2026-05-14,13,2,49.99
29,2026-11-09,12,3,24.99
30,2025-12-20,11,1,899.99
31,2026-09-03,20,1,249.99
32,2026-01-25,19,4,149.99
33,2026-03-29,18,1,14.99
34,2026-12-20,17,3,29.99
35,2025-03-22,16,2,18.99
36,2025-06-26,15,2,299.99
37,2026-03-06,14,1,199.99
38,2025-01-11,13,4,49.99
39,2026-12-21,12,1,24.99
40,2026-03-09,11,4,899.99
41,2025-10-01,20,5,249.99
42,2026-08-07,19,1,149.99
43,2026-08-18,18,5,14.99
44,2025-07-31,17,4,29.99
45,2025-04-26,16,5,18.99
46,2025-10-18,15,1,299.99
47,2025-04-19,14,3,199.99
48,2025-06-15,13,3,49.99
49,2026-12-22,12,2,24.99
50,2026-06-02,11,3,899.99
51,2026-03-02,20,2,249.99
52,2026-06-01,19,4,149.99
53,2025-05-17,18,5,14.99
54,2025-05-09,17,1,29.99
55,2026-05-03,16,2,18.99
56,2025-03-10,15,5,299.99
57,2026-07-23,14,3,199.99
58,2026-12-04,13,3,49.99
59,2025-07-13,12,1,24.99
60,2025-10-02,11,4,899.99
61,2026-07-05,20,3,249.99
62,2026-12-01,19,3,149.99
63,2025-11-05,18,4,14.99
64,2025-10-11,17,4,29.99
65,2026-03-05,16,4,18.99
66,2026-05-02,15,2,299.99
67,2025-09-22,14,5,199.99
68,2026-10-08,13,3,49.99
69,2026-02-05,12,3,24.99
70,2025-12-05,11,1,899.99
71,2026-10-08,20,2,249.99
72,2026-03-28,19,2,149.99
73,2026-07-29,18,5,14.99
74,2025-10-15,17,1,29.99
75,2025-10-16,16,4,18.99
76,2026-12-04,15,5,299.99
77,2026-06-23,14,5,199.99
78,2025-09-12,13,1,49.99
79,2026-12-28,12,5,24.99
80,2026-07-10,11,5,899.99
81,2025-12-30,20,4,249.99
82,2026-03-21,19,1,149.99
83,2025-02-27,18,5,14.99
84,2025-01-22,17,3,29.99
85,2026-09-16,16,3,18.99
86,2026-12-09,15,2,299.99
87,2026-06-07,14,4,199.99
88,2026-10-02,13,3,49.99
89,2025-05-30,12,2,24.99
90,2025-01-03,11,1,899.99
91,2025-06-21,20,1,249.99
92,2025-11-13,19,1,149.99
93,2025-04-06,18,2,14.99
94,2026-03-08,17,4,29.99
95,2025-02-02,16,5,18.99
96,2026-01-19,15,5,299.99
97,2026-03-02,14,3,199.99
98,2025-09-17,13,3,49.99
99,2025-12-27,12,5,24.99
100,2025-05-20,11,1,899.99
101,2025-05-10,20,3,249.99
102,2026-04-22,19,5,149.99
103,2026-08-13,18,1,14.99
104,2025-12-05,17,4,29.99
105,2026-01-30,16,2,18.99
106,2025-03-09,15,3,299.99
107,2026-10-19,14,1,199.99
108,2025-07-07,13,4,49.99
109,2026-08-05,12,5,24.99
110,2026-08-11,11,3,899.99
111,2025-04-04,20,1,249.99
112,2025-05-20,19,4,149.99
113,2025-12-18,18,3,14.99
114,2025-11-11,17,3,29.99
115,2026-09-21,16,1,18.99
116,2025-12-07,15,2,299.99
117,2025-04-06,14,4,199.99
118,2025-07-24,13,1,49.99
119,2025-04-10,12,1,24.99
120,2025-03-03,11,1,899.99
121,2025-09-22,20,3,249.99
122,2025-03-27,19,2,149.99
123,2026-12-03,18,1,14.99
124,2025-05-31,17,5,29.99
125,2025-07-19,16,3,18.99
126,2025-09-02,15,2,299.99
127,2026-10-22,14,2,199.99
128,2025-04-16,13,4,49.99
129,2026-04-03,12,2,24.99
130,2026-03-21,11,1,899.99
131,2026-11-05,20,1,249.99
132,2025-02-02,19,4,149.99
133,2026-02-09,18,3,14.99
134,2025-03-26,17,5,29.99
135,2025-06-14,16,2,18.99
136,2025-06-21,15,1,299.99
137,2025-11-07,14,1,199.99
138,2026-12-17,13,4,49.99
139,2026-08-10,12,4,24.99
140,2025-11-08,11,5,899.99
141,2026-09-30,20,5,249.99
142,2026-07-15,19,2,149.99
143,2026-06-12,18,5,14.99
144,2026-08-15,17,1,29.99
145,2026-10-18,16,2,18.99
146,2026-07-09,15,5,299.99
147,2025-09-15,14,5,199.99
148,2026-09-27,13,2,49.99
149,2025-08-27,12,3,24.99
150,2025-10-09,11,3,899.99
151,2025-10-17,20,3,249.99
152,2025-02-05,19,5,149.99
153,2025-09-23,18,1,14.99
154,2025-12-14,17,1,29.99
155,2026-07-07,16,4,18.99
156,2025-03-20,15,3,299.99
157,2025-06-20,14,4,199.99
158,2025-12-15,13,3,49.99
159,2026-12-08,12,2,24.99
160,2025-03-06,11,2,899.99
161,2026-12-04,20,1,249.99
162,2025-12-28,19,2,149.99
163,2026-06-28,18,5,14.99
164,2026-05-10,17,3,29.99
165,2025-05-10,16,3,18.99
166,2025-07-20,15,4,299.99
167,2026-04-01,14,1,199.99
168,2025-10-14,13,5,49.99
169,2026-09-11,12,5,24.99
170,2026-02-09,11,2,899.99
171,2026-10-20,20,3,249.99
172,2025-04-10,19,5,149.99
173,2025-12-12,18,3,14.99
174,2026-07-14,17,3,29.99
175,2025-08-03,16,5,18.99
176,2026-05-25,15,4,299.99
177,2026-03-26,14,5,199.99
178,2025-11-02,13,3,49.99
179,2025-11-03,12,3,24.99
180,2025-05-28,11,3,899.99
181,2025-02-06,20,4,249.99
182,2025-04-04,19,4,149.99
183,2025-01-01,18,5,14.99
184,2026-09-13,17,2,29.99
185,2025-04-12,16,4,18.99
186,2026-12-29,15,5,299.99
187,2026-05-09,14,3,199.99
